name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Kevin Durant","Golden State Warriors",2018-02-03,2017,3202,1610612744,400975528,3,2,56,1,"Jump Shot","2PT Field Goal",18,"Denver Nuggets",178,31,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,4,11,15,1,"Jump Shot","3PT Field Goal",23,"Indiana Pacers",-232,32,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-14,2017,3202,1610612744,400975610,2,1,38,0,"Jump Shot","3PT Field Goal",24,"Portland Trail Blazers",-178,166,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,1,3,58,0,"Jump Shot","2PT Field Goal",20,"Indiana Pacers",164,120,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,2,3,31,0,"Jump Shot","2PT Field Goal",19,"Indiana Pacers",192,-11,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,2,1,41,0,"Jump Shot","2PT Field Goal",15,"Detroit Pistons",154,37,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,3,0,33,0,"Jump Shot","3PT Field Goal",32,"Detroit Pistons",-229,233,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,1,3,46,1,"Jump Shot","3PT Field Goal",24,"Detroit Pistons",-198,151,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,1,9,41,0,"Jump Shot","2PT Field Goal",12,"Detroit Pistons",-111,55,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,4,2,13,0,"Jump Shot","3PT Field Goal",26,"Detroit Pistons",210,154,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,2,0,17,0,"Jump Shot","3PT Field Goal",25,"Detroit Pistons",72,247,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,3,3,36,0,"Jump Shot","2PT Field Goal",21,"Detroit Pistons",-177,121,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,3,9,16,1,"Jump Shot","3PT Field Goal",26,"Detroit Pistons",-188,186,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-08,2017,3202,1610612744,400975119,2,3,47,1,"Jump Shot","2PT Field Goal",17,"Detroit Pistons",76,153,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-02-03,2017,3202,1610612744,400975528,2,4,57,1,"Jump Shot","2PT Field Goal",12,"Denver Nuggets",-127,9,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,3,8,08,1,"Jump Shot","3PT Field Goal",27,"Portland Trail Blazers",-106,251,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-04-05,2017,3202,1610612744,400975921,3,7,57,0,"Jump Shot","3PT Field Goal",27,"Indiana Pacers",-217,173,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-11-11,2017,3202,1610612744,400974935,3,10,19,1,"Jump Shot","3PT Field Goal",25,"Philadelphia 76ers",-114,231,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-27,2017,3202,1610612744,400975474,3,7,22,0,"Jump Shot","2PT Field Goal",13,"Boston Celtics",-73,115,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2017-12-11,2017,3202,1610612744,400975146,1,10,46,1,"Jump Shot","2PT Field Goal",17,"Portland Trail Blazers",77,161,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-27,2017,3202,1610612744,400975474,1,7,27,0,"Jump Shot","2PT Field Goal",18,"Boston Celtics",111,142,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-27,2017,3202,1610612744,400975474,3,8,22,0,"Jump Shot","3PT Field Goal",27,"Boston Celtics",-179,212,0,0.00,,0.00,0.00
"Kevin Durant","Golden State Warriors",2018-01-27,2017,3202,1610612744,400975474,1,8,58,0,"Jump Shot","3PT Field Goal",24,"Boston Celtics",-194,157,0,0.00,,0.00,0.00
